,name,ingredients,ingredients_pre,url,serve
2013,짜장면,"카레용 돼지고기1팩,생칼국수면1팩,애호박 작은 것1개,양파반 개,양배추1/4개,채썬 대파반 개,간장2T,설탕2T,오일10T,춘장150g,녹말물3T,오이반 개,삶은 달걀1개,물4컵,미림2T,소금1T,후추1T","['생칼국수면', '애호박', '춘장', '오이', '간장', '채 대파', '양배추', '소금', '달걀', '후추', '오일', '양파', '카레용 돼지고기', '녹말물', '설탕', '미림']",https://www.haemukja.com/recipes/3726,2
2014,병아리콩 샐러드,"샐러드 야채적당량,병아리콩 삶은 것적당량,발사믹 식초2 큰 술,설탕1 큰 술,올리브유1 큰 술,레몬즙1 큰 술,파프리카, 양파 다진 것적당량","['양파', '샐러드 야채', '파프리카', '레몬즙', '올리브유', '발사믹 식초', '병아리콩', '설탕']",https://www.haemukja.com/recipes/3716,1
2015,길버트버거앤프라이즈 쿠킹클래스,"쿠킹클래스 자세한 신청 정보는 '신청하기'를 클릭해주세요!,참석자 전원에게는 2만원 식사권이 제공됩니다","[""쿠킹클래스 자세한 신청 정보는 '신청하기'를 클릭해주세요!"", '참석자 전원에게는']",https://www.haemukja.com/recipes/3729,2
2016,파이어벨 클래스,"쿠킹클래스 자세한 신청 정보는 '신청하기'를 클릭해주세요!,참석자 전원에게는 2만원 식사권이 제공됩니다","[""쿠킹클래스 자세한 신청 정보는 '신청하기'를 클릭해주세요!"", '참석자 전원에게는']",https://www.haemukja.com/recipes/3731,2
2017,양배추두부장국,"양배추1/6통,두부1/2모,대파15cm,된장2 1/2큰술,다진 마늘1큰술,건멸치 큰것15마리,건다시마1 g,건새우1/3컵","['된장', '두부', '대파', '양배추', '건다시마', '마늘', '건멸치', '건새우']",https://www.haemukja.com/recipes/3719,4
2018,나폴리탄 파스타,"스파게티면 또는 파스타면200g,베이컨4줄,마늘2쪽,케찹4T,양파반 개,피망1개,파마산치즈가루1t,오일2T,소금1T,후추1T,파슬리가루1t","['오일', '케찹', '파마산치즈가루', '소금', '스파게티면', '파슬리가루', '마늘', '후추', '베이컨', '양파', '피망']",https://www.haemukja.com/recipes/3724,2
2019,빠네스파게티,"미니 통식빵2개,스파게티면120g,양파1/2개,새우살1컵,스파게티소스1 1/2컵,우유1 1/2컵,다진 마늘1/2큰술,후춧가루약간","['새우살', '통식빵', '스파게티면', '마늘', '스파게티소스', '양파', '우유', '후춧가루']",https://www.haemukja.com/recipes/3717,2
2020,배추국물떡볶이,"배추6장,떡볶이떡4줌,양파1/2개,쪽파5대,건멸치 큰것15마리,다시마4장 5x5cm,고추장4큰술,간장2큰술,설탕3큰술,물엿1큰술,다진 마늘1큰술","['배추', '간장', '물엿', '쪽파', '고추장', '마늘', '건멸치', '양파', '떡볶이떡', '설탕', '다시마']",https://www.haemukja.com/recipes/3718,30
2021,날개달린교자,"왕교자6개,밀가루1T,물1T","['왕교자', '밀가루']",https://www.haemukja.com/recipes/3723,2
2022,볶음우동,"다진마늘1작은 술,두반장1/2작은 술,당근10그램,양배추20그램,새우6마리,우동1개,고추기름1큰 술,굴소스1큰 술,숙주20그램,가쓰오부시1/2컵,쪽파2줄기","['굴소스', '쪽파', '두반장', '고추기름', '양배추', '당근', '새우', '숙주', '마늘', '가쓰오부시', '우동']",https://www.haemukja.com/recipes/3712,2
2023,가쓰오메밀국수,"메밀국수120g,면삶기용물1L","['면삶기용물', '메밀국수']",https://www.haemukja.com/recipes/3697,1
2024,꽃게탕,"꽃게2마리,양파1/2개,무100g,표고버섯2개,대파1대,청양고추1개,홍고추1개,쑥갓10줄기,멸치다시포1개,된장2큰 술,고춧가루1큰 술,국간장1/2큰 술,다진마늘1/2큰 술,맛술1큰 술,고춧가루1/2큰 술","['꽃게', '된장', '표고버섯', '홍고추', '대파', '쑥갓', '멸치다시포', '국간장', '맛술', '고춧가루', '마늘', '양파', '청양고추', '무']",https://www.haemukja.com/recipes/3707,2
2025,감자수제비,"시판감자수제비100g,달걀1개,주키니호박1/3개","['감자수제비', '주키니호박', '달걀']",https://www.haemukja.com/recipes/3694,1
2026,로제소스우동,"우동사리1개,베이컨2줄,새우3개","['베이컨', '우동사리', '새우']",https://www.haemukja.com/recipes/3695,1
2027,크림새우그라탕,"새우150g,양파1/3개,양송이버섯1/3개","['양파', '양송이버섯', '새우']",https://www.haemukja.com/recipes/3696,1
2028,병아리콩 치즈,"흙애서 병아리콩한 줌,피자치즈적당량,스파게티 소스8 수저,파슬리약간","['흙애서 병아리콩', '피자치즈', '파슬리', '스파게티 소스']",https://www.haemukja.com/recipes/3705,1
2029,참치샐러드 또띠아쌈,"통조림 참치1캔,오이1개,파프리카½개,마요네즈4큰술,스위트칠리소스1큰술,또띠아5장,양상추5장,깻잎5장","['오이', '마요네즈', '파프리카', '스위트칠리소스', '또띠아', '깻잎', '양상추', '통조림 참치']",https://www.haemukja.com/recipes/3686,4
